// & : stage seperator
// // : comment seperator
// first line -> settings of stage : formationWidth, formationHeight, baseSpeed, shootingFrecuency
// second line  ~  until next &   : x for changed enemy, y for changed enemy, hp ratio, reward ratio, enemy color hex code
&
4, 3, 80, 2000
&
5, 4, 70, 1500
0, 0, 2, 2, #FF0000
1, 0, 2, 2, #FF0000
2, 0, 2, 2, #FF0000
3, 0, 2, 2, #FF0000
4, 0, 2, 2, #FF0000
&
5, 4, 1, 1000000
0, 0, 0, 0
1, 0, 0, 0
2, 0, 1, 2, #FFFF00
3, 0, 0, 0
4, 0, 0, 0
0, 1, 1, 2, #FFFF00
1, 1, 1, 2, #FFFF00
2, 1, 1, 2, #FFFF00
3, 1, 1, 2, #FFFF00
4, 1, 1, 2, #FFFF00
0, 2, 0, 0
1, 2, 1, 2, #FFFF00
2, 2, 1, 2, #FFFF00
3, 2, 1, 2, #FFFF00
4, 2, 0, 0
0, 3, 0, 0
1, 3, 1, 2, #FFFF00
2, 3, 0, 0
3, 3, 1, 2, #FFFF00
4, 3, 0, 0
&
8, 2, 40, 1000
0, 0, 2, 2, #FF0000
1, 1, 2, 2, #FF0000
2, 0, 2, 2, #FF0000
3, 1, 2, 2, #FF0000
4, 0, 2, 2, #FF0000
5, 1, 2, 2, #FF0000
6, 0, 2, 2, #FF0000
7, 1, 2, 2, #FF0000
&
3, 3, 40, 1000
0, 0, 3, 3, #0000FF
1, 0, 3, 3, #0000FF
2, 0, 3, 3, #0000FF
0, 1, 3, 3, #0000FF
1, 1, 10, 10, #FF00FF
2, 1, 3, 3, #0000FF
0, 2, 3, 3, #0000FF
1, 2, 3, 3, #0000FF
2, 2, 3, 3, #0000FF
